立	竝
竖	竪
站	跕
竞	競
竟	獍
章	嶂
竣	浚
童	僮
端	鍴
竹	艸
竿	芉
笔	毣
笛	廸
符	苻
笨	苯
第	苐
笼	茏
筋	荕
筐	筺
筑	茿
筒	茼
答	荅
策	憡
筛	篩
筹	薵
签	簽
简	彅
算	匴
管	涫
箩	儸
箱	葙
篇	萹
篓	溇
篙	禞
篮	藍
米	洣
类	類
粉	帉
粘	秥
粤	粵
粮	悢
粹	濢
精	棈
糊	煳
糕	溔
糖	溏
糙	鐰
糟	蹧
糠	嵻
糯	穤
系	係
素	嫊
索	鎍
紧	緊
紫	橴
累	蔂
繁	瀿
纠	糾
红	葒
纤	汘
约	箹
纪	汜
纯	蒓
纲	罁
纳	妠
纵	枞
纷	妢
纸	衹
纹	鈫
纺	汸
纽	狃
线	線
练	煉
组	蒩
绅	訷
细	細
织	枳
终	蔠
绍	袑
经	經
绑	垹
绒	絨
结	結
绕	隢
绘	浍
绚	絢
络	絡
绝	蕝
绞	烄
统	統
绢	涓
绥	浽
绪	緒
续	續
绰	焯
绳	繩
维	惟
绵	婂
绸	皗
综	琮
绽	綻
绿	淥
缀	綴
缆	灠
缎	葮
缓	緩
编	揙
缘	緣
缝	漨
缠	瀍
缩	縮
缴	儌
缸	矼
缺	蒛
罐	潅
网	蛧
罕	癷
罗	囉
罚	藅
罪	嶵
羊	咩
美	羙
羔	餻
羚	玪
羞	饈
羡	羨
群	羣
翁	暡
翅	趐
翘	趬
翠	濢
翻	飜
老	荖
考	栲
者	鍺
而	洏
耐	恧
耕	畊
耗	秏
耘	秐
耳	洱
耶	倻
耸	聳
耻	恥
聂	嗫
聊	窷
聋	聾
职	轵
联	聅
聘	娉
聚	藂
肃	歗
肉	禸
肋	叻
肛	釭
股	骰
肢	汥
肤	膚
肥	萉
肯	肻
育	唷
肺	腓
肾	腎
肿	妕
胁	脅
胃	媦
胆	狚
背	揹
胖	眫
胜	夝
胞	菢
胡	箶
胶	烄
胸	洶
脉	霡
脏	賍
脑	悩
脓	哝
脚	腳
脱	脫
脸	臉
脾	裨
腆	睓
腊	臘
腥	睲
腰	崾
腻	膩
腾	駦
腿	蹆
膀	嫎
膘	鏢
膜	嗼
臣	烥
自	洎
臭	溴
至	臸
致	臸
舌	舙
舍	舎
舒	忬
舔	婖
舜	橓
舞	橆
舟	洀
般	瘢
良	悢
色	脃
艳	滟
艺	兿
艾	銰
节	兯
芒	笀
芜	蕪
芝	芷
芦	廬
芬	棼
芭	妑
花	埖
芳	淓
芽	厊
苍	芲
苏	蘇
苑	夗
苗	媌
苛	岢
若	婼
苦	楛
英	渶
苹	泙
范	笵
茄	苆
茅	罞
茎	莖
茨	垐
茫	汒
茵	筃
茶	嗏
茹	筎
荆	荊
草	愺
荐	薦
荒	巟
荡	蕩
药	葯
荷	嗬
莎	莏
莫	嗼
莲	嗹
获	镬
莹	瑩
莽	漭
菊	匊
菌	箘
菜	婇
菩	箁
菱	夌
菲	婔
萄	匋
萌	萠
萍	泙
萎	崣
萝	囉
营	營
萧	簘
萨	蕯
葛	噶
葡	匍
董	蓳
葫	煳
葬	髒
葱	茐
